root@ebhq-gridcenter# df -h
Filesystem              Size  Used  Avail  Use%
/dev/grid/node-x21-y11   86T   66T    20T   76%
/dev/grid/node-x21-y12   90T   64T    26T   71%
/dev/grid/node-x21-y13   87T   69T    18T   79%
/dev/grid/node-x21-y14   92T   64T    28T   69%
/dev/grid/node-x21-y15   88T   65T    23T   73%
/dev/grid/node-x21-y16   93T   70T    23T   75%
/dev/grid/node-x21-y17   87T   71T    16T   81%
/dev/grid/node-x21-y18   91T   65T    26T   71%
/dev/grid/node-x21-y19   85T   68T    17T   80%
/dev/grid/node-x21-y20   87T   66T    21T   75%
/dev/grid/node-x21-y21   94T   72T    22T   76%
/dev/grid/node-x21-y22   92T   67T    25T   72%
/dev/grid/node-x21-y23   88T   68T    20T   77%
/dev/grid/node-x22-y0    88T   69T    19T   78%
/dev/grid/node-x22-y1    88T   70T    18T   79%
/dev/grid/node-x22-y2    85T   67T    18T   78%
/dev/grid/node-x22-y3    86T   67T    19T   77%
/dev/grid/node-x22-y4    93T   70T    23T   75%
/dev/grid/node-x22-y5    89T   71T    18T   79%
/dev/grid/node-x22-y6    90T   73T    17T   81%
/dev/grid/node-x22-y7    87T   70T    17T   80%
/dev/grid/node-x22-y8    85T   68T    17T   80%
/dev/grid/node-x22-y9    87T   64T    23T   73%
/dev/grid/node-x22-y10   85T   72T    13T   84%
/dev/grid/node-x22-y11   88T   66T    22T   75%
/dev/grid/node-x22-y12   87T   72T    15T   82%
/dev/grid/node-x22-y13   88T   72T    16T   81%
/dev/grid/node-x22-y14   91T   69T    22T   75%
/dev/grid/node-x22-y15   90T   73T    17T   81%
/dev/grid/node-x22-y16   91T   69T    22T   75%
/dev/grid/node-x22-y17   92T   66T    26T   71%
/dev/grid/node-x22-y18   94T   70T    24T   74%
/dev/grid/node-x22-y19   86T   67T    19T   77%
/dev/grid/node-x22-y20   92T   70T    22T   76%
/dev/grid/node-x22-y21   89T   71T    18T   79%
/dev/grid/node-x22-y22   92T   69T    23T   75%
/dev/grid/node-x22-y23   87T   70T    17T   80%
/dev/grid/node-x23-y0    88T   69T    19T   78%
/dev/grid/node-x23-y1    86T   72T    14T   83%
/dev/grid/node-x23-y2    89T   64T    25T   71%
/dev/grid/node-x23-y3    91T   68T    23T   74%
/dev/grid/node-x23-y4    87T   71T    16T   81%
/dev/grid/node-x23-y5    85T   71T    14T   83%
/dev/grid/node-x23-y6    92T   68T    24T   73%
/dev/grid/node-x23-y7    85T   71T    14T   83%
/dev/grid/node-x23-y8    91T   64T    27T   70%
/dev/grid/node-x23-y9    85T   70T    15T   82%
/dev/grid/node-x23-y10   93T   72T    21T   77%
/dev/grid/node-x23-y11   87T   72T    15T   82%
/dev/grid/node-x23-y12   90T   72T    18T   80%
/dev/grid/node-x23-y13   89T   64T    25T   71%
/dev/grid/node-x23-y14   87T   67T    20T   77%
/dev/grid/node-x23-y15   87T   70T    17T   80%
/dev/grid/node-x23-y16   94T   68T    26T   72%
/dev/grid/node-x23-y17   88T   68T    20T   77%
/dev/grid/node-x23-y18   87T   65T    22T   74%
/dev/grid/node-x23-y19   90T   71T    19T   78%
/dev/grid/node-x23-y20   93T   71T    22T   76%
/dev/grid/node-x23-y21   92T   64T    28T   69%
/dev/grid/node-x23-y22   89T   66T    23T   74%
/dev/grid/node-x23-y23   90T   73T    17T   81%
/dev/grid/node-x24-y0    93T   70T    23T   75%
/dev/grid/node-x24-y1    91T   71T    20T   78%
/dev/grid/node-x24-y2    93T   68T    25T   73%
/dev/grid/node-x24-y3    88T   72T    16T   81%
/dev/grid/node-x24-y4    92T   64T    28T   69%
/dev/grid/node-x24-y5    87T   64T    23T   73%
/dev/grid/node-x24-y6    91T   70T    21T   76%
/dev/grid/node-x24-y7    93T   72T    21T   77%
/dev/grid/node-x24-y8    94T   73T    21T   77%
/dev/grid/node-x24-y9    88T   72T    16T   81%
/dev/grid/node-x24-y10   89T   67T    22T   75%
/dev/grid/node-x24-y11   89T   68T    21T   76%
/dev/grid/node-x24-y12   89T   66T    23T   74%
/dev/grid/node-x24-y13   93T   67T    26T   72%
/dev/grid/node-x24-y14   92T   69T    23T   75%
/dev/grid/node-x24-y15   85T   72T    13T   84%
/dev/grid/node-x24-y16   85T   64T    21T   75%
/dev/grid/node-x24-y17   94T   69T    25T   73%
/dev/grid/node-x24-y18   93T   67T    26T   72%
/dev/grid/node-x24-y19   89T   67T    22T   75%
/dev/grid/node-x24-y20   86T   67T    19T   77%
/dev/grid/node-x24-y21   87T   71T    16T   81%
/dev/grid/node-x24-y22   90T   71T    19T   78%
/dev/grid/node-x24-y23   88T   70T    18T   79%
/dev/grid/node-x25-y0    91T   70T    21T   76%
/dev/grid/node-x25-y1    92T   67T    25T   72%
/dev/grid/node-x25-y2    91T   71T    20T   78%
/dev/grid/node-x25-y3    88T   68T    20T   77%
/dev/grid/node-x25-y4    91T   64T    27T   70%
/dev/grid/node-x25-y5    88T   66T    22T   75%
/dev/grid/node-x25-y6    89T   66T    23T   74%
/dev/grid/node-x25-y7    92T   72T    20T   78%
/dev/grid/node-x25-y8    88T   71T    17T   80%
/dev/grid/node-x25-y9    90T   65T    25T   72%
/dev/grid/node-x25-y10   93T   65T    28T   69%
/dev/grid/node-x25-y11   94T   70T    24T   74%
/dev/grid/node-x25-y12   90T   69T    21T   76%
/dev/grid/node-x25-y13   86T   66T    20T   76%
/dev/grid/node-x25-y14   85T   71T    14T   83%
/dev/grid/node-x25-y15   91T   72T    19T   79%
/dev/grid/node-x25-y16   86T   68T    18T   79%
/dev/grid/node-x25-y17   85T   65T    20T   76%
/dev/grid/node-x25-y18   85T   67T    18T   78%
/dev/grid/node-x25-y19   94T   72T    22T   76%
/dev/grid/node-x25-y20   89T   69T    20T   77%
/dev/grid/node-x25-y21   94T   70T    24T   74%
/dev/grid/node-x25-y22   89T   68T    21T   76%
/dev/grid/node-x25-y23   89T   69T    20T   77%
/dev/grid/node-x26-y0    91T   64T    27T   70%
/dev/grid/node-x26-y1    85T   64T    21T   75%
/dev/grid/node-x26-y2    91T   73T    18T   80%
/dev/grid/node-x26-y3    94T   66T    28T   70%
/dev/grid/node-x26-y4    94T   67T    27T   71%
/dev/grid/node-x26-y5    85T   64T    21T   75%
/dev/grid/node-x26-y6    94T   73T    21T   77%
/dev/grid/node-x26-y7    92T   71T    21T   77%
/dev/grid/node-x26-y8    89T   67T    22T   75%
/dev/grid/node-x26-y9    89T   72T    17T   80%
/dev/grid/node-x26-y10   92T   73T    19T   79%
/dev/grid/node-x26-y11   91T   68T    23T   74%
/dev/grid/node-x26-y12   90T   64T    26T   71%
/dev/grid/node-x26-y13   86T   66T    20T   76%
/dev/grid/node-x26-y14   92T   64T    28T   69%
/dev/grid/node-x26-y15   91T   64T    27T   70%
/dev/grid/node-x26-y16   93T   69T    24T   74%
/dev/grid/node-x26-y17   90T   68T    22T   75%
/dev/grid/node-x26-y18   91T   64T    27T   70%
/dev/grid/node-x26-y19   85T   73T    12T   85%
/dev/grid/node-x26-y20   92T   68T    24T   73%
/dev/grid/node-x26-y21   87T   67T    20T   77%
/dev/grid/node-x26-y22   93T   72T    21T   77%
/dev/grid/node-x26-y23   88T   66T    22T   75%
/dev/grid/node-x27-y0    92T   69T    23T   75%
/dev/grid/node-x27-y1    85T   64T    21T   75%
/dev/grid/node-x27-y2    90T   67T    23T   74%
/dev/grid/node-x27-y3    87T   69T    18T   79%
/dev/grid/node-x27-y4    86T   68T    18T   79%
/dev/grid/node-x27-y5    92T   73T    19T   79%
/dev/grid/node-x27-y6    93T   65T    28T   69%
/dev/grid/node-x27-y7    89T   64T    25T   71%
/dev/grid/node-x27-y8    90T   67T    23T   74%
/dev/grid/node-x27-y9    89T   66T    23T   74%
/dev/grid/node-x27-y10   89T   72T    17T   80%
/dev/grid/node-x27-y11   85T   70T    15T   82%
/dev/grid/node-x27-y12   89T   70T    19T   78%
/dev/grid/node-x27-y13   92T   65T    27T   70%
/dev/grid/node-x27-y14   88T   64T    24T   72%
/dev/grid/node-x27-y15   89T   70T    19T   78%
/dev/grid/node-x27-y16   85T   72T    13T   84%
/dev/grid/node-x27-y17   93T   71T    22T   76%
/dev/grid/node-x27-y18   94T   72T    22T   76%
/dev/grid/node-x27-y19   90T   69T    21T   76%
/dev/grid/node-x27-y20   86T   69T    17T   80%
/dev/grid/node-x27-y21   90T   68T    22T   75%
/dev/grid/node-x27-y22   85T   70T    15T   82%
/dev/grid/node-x27-y23   91T   71T    20T   78%
/dev/grid/node-x28-y0    88T   68T    20T   77%
/dev/grid/node-x28-y1    92T   67T    25T   72%
/dev/grid/node-x28-y2    88T   66T    22T   75%
/dev/grid/node-x28-y3    87T   69T    18T   79%
/dev/grid/node-x28-y4    88T   66T    22T   75%
/dev/grid/node-x28-y5    89T   67T    22T   75%
/dev/grid/node-x28-y6    94T   64T    30T   68%
/dev/grid/node-x28-y7    92T   64T    28T   69%
/dev/grid/node-x28-y8    93T   65T    28T   69%
/dev/grid/node-x28-y9    90T   66T    24T   73%
/dev/grid/node-x28-y10   93T   67T    26T   72%
/dev/grid/node-x28-y11   94T   71T    23T   75%
/dev/grid/node-x28-y12   85T   69T    16T   81%
/dev/grid/node-x28-y13   86T   73T    13T   84%
/dev/grid/node-x28-y14   93T   64T    29T   68%
/dev/grid/node-x28-y15   88T   64T    24T   72%
/dev/grid/node-x28-y16   86T   65T    21T   75%
/dev/grid/node-x28-y17   92T   72T    20T   78%
/dev/grid/node-x28-y18   88T   64T    24T   72%
/dev/grid/node-x28-y19   85T   72T    13T   84%
/dev/grid/node-x28-y20   90T   73T    17T   81%
/dev/grid/node-x28-y21   85T   68T    17T   80%
/dev/grid/node-x28-y22   91T   69T    22T   75%
/dev/grid/node-x28-y23   90T   67T    23T   74%
/dev/grid/node-x29-y0    89T   71T    18T   79%
/dev/grid/node-x29-y1    89T   67T    22T   75%
/dev/grid/node-x29-y2    89T   70T    19T   78%
/dev/grid/node-x29-y3    91T   64T    27T   70%
/dev/grid/node-x29-y4    91T   70T    21T   76%
/dev/grid/node-x29-y5    91T   68T    23T   74%
/dev/grid/node-x29-y6    88T   72T    16T   81%
/dev/grid/node-x29-y7    88T   65T    23T   73%
/dev/grid/node-x29-y8    94T   67T    27T   71%
/dev/grid/node-x29-y9    92T   69T    23T   75%
/dev/grid/node-x29-y10   92T   70T    22T   76%
/dev/grid/node-x29-y11   91T   64T    27T   70%
/dev/grid/node-x29-y12   85T   73T    12T   85%
/dev/grid/node-x29-y13   87T   68T    19T   78%
/dev/grid/node-x29-y14   90T   71T    19T   78%
/dev/grid/node-x29-y15   93T   68T    25T   73%
/dev/grid/node-x29-y16   89T   69T    20T   77%
/dev/grid/node-x29-y17   86T   68T    18T   79%
/dev/grid/node-x29-y18   91T   65T    26T   71%
/dev/grid/node-x29-y19   86T   67T    19T   77%
/dev/grid/node-x29-y20   89T   69T    20T   77%
/dev/grid/node-x29-y21   87T   72T    15T   82%
/dev/grid/node-x29-y22   93T   71T    22T   76%
/dev/grid/node-x29-y23   90T   70T    20T   77%
/dev/grid/node-x30-y0    86T   65T    21T   75%
/dev/grid/node-x30-y1    86T   68T    18T   79%
/dev/grid/node-x30-y2    88T   66T    22T   75%
/dev/grid/node-x30-y3    86T   67T    19T   77%
/dev/grid/node-x30-y4    90T   73T    17T   81%
/dev/grid/node-x30-y5    86T   70T    16T   81%
/dev/grid/node-x30-y6    89T   72T    17T   80%
/dev/grid/node-x30-y7    85T   73T    12T   85%
/dev/grid/node-x30-y8    94T   64T    30T   68%
/dev/grid/node-x30-y9    89T   67T    22T   75%
/dev/grid/node-x30-y10   85T   68T    17T   80%
/dev/grid/node-x30-y11   87T   69T    18T   79%
/dev/grid/node-x30-y12   94T   68T    26T   72%
/dev/grid/node-x30-y13   86T   67T    19T   77%
/dev/grid/node-x30-y14   88T   71T    17T   80%
/dev/grid/node-x30-y15   89T   68T    21T   76%
/dev/grid/node-x30-y16   86T   70T    16T   81%
/dev/grid/node-x30-y17   86T   66T    20T   76%
/dev/grid/node-x30-y18   86T   72T    14T   83%
/dev/grid/node-x30-y19  501T  493T     8T   98%
/dev/grid/node-x30-y20   86T   71T    15T   82%
/dev/grid/node-x30-y21   94T   68T    26T   72%
/dev/grid/node-x30-y22   88T   73T    15T   82%
/dev/grid/node-x30-y23   88T   73T    15T   82%
/dev/grid/node-x31-y0    88T   73T    15T   82%
/dev/grid/node-x31-y1    86T   70T    16T   81%
/dev/grid/node-x31-y2    87T   67T    20T   77%
/dev/grid/node-x31-y3    87T   72T    15T   82%
/dev/grid/node-x31-y4    89T   72T    17T   80%
/dev/grid/node-x31-y5    91T   69T    22T   75%
/dev/grid/node-x31-y6    94T   71T    23T   75%
/dev/grid/node-x31-y7    87T   72T    15T   82%
/dev/grid/node-x31-y8    86T   69T    17T   80%
/dev/grid/node-x31-y9    90T   72T    18T   80%
/dev/grid/node-x31-y10   86T   64T    22T   74%
/dev/grid/node-x31-y11   92T   72T    20T   78%
/dev/grid/node-x31-y12   94T   72T    22T   76%
/dev/grid/node-x31-y13   90T   71T    19T   78%
/dev/grid/node-x31-y14   94T   67T    27T   71%
/dev/grid/node-x31-y15   86T   71T    15T   82%
/dev/grid/node-x31-y16   91T   69T    22T   75%
/dev/grid/node-x31-y17   93T   73T    20T   78%
/dev/grid/node-x31-y18   88T   68T    20T   77%
/dev/grid/node-x31-y19  504T  498T     6T   98%
/dev/grid/node-x31-y20   91T   67T    24T   73%
/dev/grid/node-x31-y21   87T   68T    19T   78%
/dev/grid/node-x31-y22   91T   65T    26T   71%
/dev/grid/node-x31-y23   85T   67T    18T   78%
/dev/grid/node-x32-y0    90T   72T    18T   80%
/dev/grid/node-x32-y1    89T   69T    20T   77%
/dev/grid/node-x32-y2    88T   73T    15T   82%
/dev/grid/node-x32-y3    91T   69T    22T   75%
/dev/grid/node-x32-y4    90T   68T    22T   75%
/dev/grid/node-x32-y5    93T   71T    22T   76%
/dev/grid/node-x32-y6    87T   65T    22T   74%
/dev/grid/node-x32-y7    94T   69T    25T   73%
/dev/grid/node-x32-y8    92T   65T    27T   70%
/dev/grid/node-x32-y9    90T   67T    23T   74%
/dev/grid/node-x32-y10   85T   69T    16T   81%
/dev/grid/node-x32-y11   94T   64T    30T   68%
/dev/grid/node-x32-y12   87T   73T    14T   83%
/dev/grid/node-x32-y13   85T   64T    21T   75%
/dev/grid/node-x32-y14   85T   68T    17T   80%
/dev/grid/node-x32-y15   89T   71T    18T   79%
/dev/grid/node-x32-y16   90T   66T    24T   73%
/dev/grid/node-x32-y17   86T   65T    21T   75%
/dev/grid/node-x32-y18   94T   70T    24T   74%
/dev/grid/node-x32-y19  505T  497T     8T   98%
/dev/grid/node-x32-y20   90T   65T    25T   72%
/dev/grid/node-x32-y21   88T   70T    18T   79%
/dev/grid/node-x32-y22   92T   69T    23T   75%
/dev/grid/node-x32-y23   86T   73T    13T   84%
/dev/grid/node-x33-y0    93T   70T    23T   75%
/dev/grid/node-x33-y1    89T   64T    25T   71%
/dev/grid/node-x33-y2    89T   64T    25T   71%
/dev/grid/node-x33-y3    86T   67T    19T   77%
/dev/grid/node-x33-y4    93T   64T    29T   68%
/dev/grid/node-x33-y5    92T   72T    20T   78%
/dev/grid/node-x33-y6    86T   66T    20T   76%
/dev/grid/node-x33-y7    89T   72T    17T   80%
/dev/grid/node-x33-y8    85T   72T    13T   84%
/dev/grid/node-x33-y9    92T   70T    22T   76%
/dev/grid/node-x33-y10   89T   68T    21T   76%
/dev/grid/node-x33-y11   88T   65T    23T   73%
/dev/grid/node-x33-y12   87T   66T    21T   75%
/dev/grid/node-x33-y13   88T   68T    20T   77%
/dev/grid/node-x33-y14   85T   71T    14T   83%
/dev/grid/node-x33-y15   90T   72T    18T   80%
/dev/grid/node-x33-y16   92T   64T    28T   69%
/dev/grid/node-x33-y17   87T   69T    18T   79%
/dev/grid/node-x33-y18   85T   70T    15T   82%
/dev/grid/node-x33-y19  508T  490T    18T   96%
/dev/grid/node-x33-y20   92T   70T    22T   76%
/dev/grid/node-x33-y21   92T   65T    27T   70%
/dev/grid/node-x33-y22   93T   68T    25T   73%
/dev/grid/node-x33-y23   89T   73T    16T   82%
/dev/grid/node-x34-y0    88T   67T    21T   76%
/dev/grid/node-x34-y1    92T   71T    21T   77%
/dev/grid/node-x34-y2    90T   68T    22T   75%
/dev/grid/node-x34-y3    89T   66T    23T   74%
/dev/grid/node-x34-y4    86T   71T    15T   82%
/dev/grid/node-x34-y5    86T   72T    14T   83%
/dev/grid/node-x34-y6    87T   66T    21T   75%
/dev/grid/node-x34-y7    87T   68T    19T   78%
/dev/grid/node-x34-y8    94T   69T    25T   73%
/dev/grid/node-x34-y9    88T   66T    22T   75%
/dev/grid/node-x34-y10   92T   64T    28T   69%
/dev/grid/node-x34-y11   89T   73T    16T   82%
/dev/grid/node-x34-y12   86T   67T    19T   77%
/dev/grid/node-x34-y13   90T   64T    26T   71%
/dev/grid/node-x34-y14   85T   64T    21T   75%
/dev/grid/node-x34-y15   89T   73T    16T   82%
/dev/grid/node-x34-y16   91T   65T    26T   71%
/dev/grid/node-x34-y17   86T   64T    22T   74%
/dev/grid/node-x34-y18   89T   64T    25T   71%
/dev/grid/node-x34-y19  504T  499T     5T   99%
/dev/grid/node-x34-y20   88T   64T    24T   72%
/dev/grid/node-x34-y21   90T   64T    26T   71%
/dev/grid/node-x34-y22   87T   66T    21T   75%
/dev/grid/node-x34-y23   89T   65T    24T   73%
/dev/grid/node-x35-y0    91T   71T    20T   78%
/dev/grid/node-x35-y1    93T   72T    21T   77%
/dev/grid/node-x35-y2    86T   68T    18T   79%
/dev/grid/node-x35-y3    91T   71T    20T   78%
/dev/grid/node-x35-y4    92T   67T    25T   72%
/dev/grid/node-x35-y5    85T   68T    17T   80%
/dev/grid/node-x35-y6    90T   70T    20T   77%
/dev/grid/node-x35-y7    90T   64T    26T   71%
/dev/grid/node-x35-y8    93T   65T    28T   69%
/dev/grid/node-x35-y9    92T   65T    27T   70%
/dev/grid/node-x35-y10   94T   65T    29T   69%
/dev/grid/node-x35-y11   93T   69T    24T   74%
/dev/grid/node-x35-y12   90T   64T    26T   71%
/dev/grid/node-x35-y13   92T   69T    23T   75%
/dev/grid/node-x35-y14   93T   66T    27T   70%
/dev/grid/node-x35-y15   86T   67T    19T   77%
/dev/grid/node-x35-y16   91T   71T    20T   78%
/dev/grid/node-x35-y17   93T   72T    21T   77%
/dev/grid/node-x35-y18   90T   73T    17T   81%
/dev/grid/node-x35-y19  503T  494T     9T   98%
/dev/grid/node-x35-y20   94T   71T    23T   75%
/dev/grid/node-x35-y21   91T    0T    91T    0%
/dev/grid/node-x35-y22   93T   72T    21T   77%
/dev/grid/node-x35-y23   90T   65T    25T   72%
/dev/grid/node-x36-y0    88T   72T    16T   81%
/dev/grid/node-x36-y1    91T   70T    21T   76%
/dev/grid/node-x36-y2    89T   65T    24T   73%
/dev/grid/node-x36-y3    93T   69T    24T   74%
/dev/grid/node-x36-y4    94T   71T    23T   75%
/dev/grid/node-x36-y5    94T   68T    26T   72%
/dev/grid/node-x36-y6    88T   66T    22T   75%
/dev/grid/node-x36-y7    88T   66T    22T   75%
/dev/grid/node-x36-y8    94T   72T    22T   76%
/dev/grid/node-x36-y9    91T   66T    25T   72%
/dev/grid/node-x36-y10   94T   69T    25T   73%
/dev/grid/node-x36-y11   91T   68T    23T   74%
/dev/grid/node-x36-y12   90T   67T    23T   74%
/dev/grid/node-x36-y13   94T   70T    24T   74%
/dev/grid/node-x36-y14   88T   66T    22T   75%
/dev/grid/node-x36-y15   91T   71T    20T   78%
/dev/grid/node-x36-y16   86T   69T    17T   80%
/dev/grid/node-x36-y17   87T   69T    18T   79%
/dev/grid/node-x36-y18   89T   66T    23T   74%
/dev/grid/node-x36-y19  508T  491T    17T   96%
/dev/grid/node-x36-y20   88T   69T    19T   78%
/dev/grid/node-x36-y21   89T   65T    24T   73%
/dev/grid/node-x36-y22   93T   69T    24T   74%
/dev/grid/node-x36-y23   88T   64T    24T   72%
/dev/grid/node-x37-y0    91T   64T    27T   70%
/dev/grid/node-x37-y1    88T   69T    19T   78%
/dev/grid/node-x37-y2    88T   69T    19T   78%
/dev/grid/node-x37-y3    90T   64T    26T   71%
/dev/grid/node-x37-y4    91T   67T    24T   73%
/dev/grid/node-x37-y5    87T   67T    20T   77%
/dev/grid/node-x37-y6    88T   70T    18T   79%
/dev/grid/node-x37-y7    88T   71T    17T   80%
/dev/grid/node-x37-y8    87T   68T    19T   78%
/dev/grid/node-x37-y9    87T   67T    20T   77%
/dev/grid/node-x37-y10   86T   68T    18T   79%
/dev/grid/node-x37-y11   89T   64T    25T   71%
/dev/grid/node-x37-y12   86T   66T    20T   76%
/dev/grid/node-x37-y13   90T   71T    19T   78%
/dev/grid/node-x37-y14   94T   66T    28T   70%
/dev/grid/node-x37-y15   90T   67T    23T   74%
/dev/grid/node-x37-y16   88T   68T    20T   77%
/dev/grid/node-x37-y17   94T   71T    23T   75%
/dev/grid/node-x37-y18   89T   72T    17T   80%
/dev/grid/node-x37-y19  507T  490T    17T   96%
/dev/grid/node-x37-y20   85T   65T    20T   76%
/dev/grid/node-x37-y21   88T   70T    18T   79%
/dev/grid/node-x37-y22   90T   66T    24T   73%
/dev/grid/node-x37-y23   90T   72T    18T   80%
