3-gram	*/*	3/*	4/*	5/*	6/*	7/*	8/*	9/*	3/1:3	4/1:3	4/2:4	5/1:3	5/2:4	5/3:5	6/1:3	6/2:4	6/3:5	6/4:6	7/1:3	7/2:4	7/3:5	7/4:6	7/5:7	8/1:3	8/2:4	8/3:5	8/4:6	8/5:7	8/6:8	9/1:3	9/2:4	9/3:5	9/4:6	9/5:7	9/6:8	9/7:9	*/1:3	*/2:4	*/3:5	*/4:6	*/5:7	*/6:8	*/7:9	*/8:10	*/9:11	*/-9:-7	*/-8:-6	*/-7:-5	*/-6:-4	*/-5:-3	*/-4:-2	*/-3:-1
OST	2150055872	591573	1254117466	141092493	380337319	91890315	60736139	77141894	591573	0	1254117466	1192277	113666131	26234085	1466736	133778432	7833394	237258757	2046769	64989240	16004119	1671568	7178619	575584	27006188	18957542	3515775	1655412	9025638	2205500	53827782	9059890	2569943	931965	341631	8205183	23292041	1698974901	101087046	251091426	23141192	30649174	18087092	1573780	620082	32599026	72989657	47720994	92837572	176292175	125379867	1545091995
BER	2140061455	2454046	14444090	63200547	751286094	590283389	331668989	154264789	2454046	8887583	5556507	13288575	992637	48919335	46896479	939050	117527167	585923398	30183803	1858146	110026671	331828676	116386093	26905241	5353515	22924706	18032590	31786529	226666408	9223439	962231	27871563	11893919	5386708	22511629	76415300	142733793	20329545	382123861	988592250	197367213	302933962	91645700	12049702	1991180	20690245	85480985	116936430	107810473	189232845	531296827	1066316465
ITS	2139410770	1369438835	45803560	90252753	380606446	103647165	130087561	12441526	1369438835	0	45803560	0	0	90252753	223352412	1141648	0	156112386	0	226320	784151	218033	102418661	0	0	438642	770191	0	128878728	0	0	284395	0	0	0	12157131	1592791247	48106237	94368406	157430095	102418661	128878728	12268080	2669290	142701	3255038	175606	613880	224017374	3355032	218033	1907663277
NIN	2139022753	548618	56880461	23005529	74056957	596383932	467686522	450625483	548618	56880461	0	11816324	0	11189205	10561861	0	60132940	3362156	1066584	0	2201433	590867615	2248300	9775975	0	2691319	59162658	395361593	694977	423354	1912831	13987986	2036309	2865903	426438173	2960927	126672081	19993563	97342691	681160599	403768553	440939035	201169987	126428201	25798537	6517052	21929171	33548417	19647053	91126602	1891539472	22483807
LEA	2131394724	3107544	159249758	682302047	237564948	603839206	280164030	47556459	3107544	149228471	10021287	475745676	206433423	122948	182653677	52228238	2364312	318721	313051491	176620521	53528580	59834373	804241	117221768	127746774	30047627	1834923	2941533	371405	1992926	27980837	6427384	8313278	584156	2257878	0	1291614777	613880113	94340455	110788563	11518996	3806500	600894	2046771	780856	9071562	146872943	490300999	401796234	584764835	426727922	14902147
INA	2115500516	1171390	10092557	188016497	59830360	223259790	404110959	288175125	1171390	285120	9807437	390570	102469616	85156311	147646	16522574	15710701	27449439	145295	158481886	14594255	39647883	10390471	12902111	15369064	2415043	129913137	211270609	32240995	17967824	106040342	2224470	60205323	68115137	19107640	14514389	96339119	415642715	120542616	309100419	666868508	163170286	219936059	53917717	52634809	30834945	173796109	470018854	402607597	355794232	427633135	183806100
MPL	2114302261	199449	768575	27959539	368258653	509538471	390518342	205785997	199449	544446	224129	0	27848595	110944	0	18543906	349714747	0	0	49929416	144191150	315417905	0	0	147125939	169564203	73380917	447283	0	0	114923437	81321897	8546959	0	993704	0	743895	544873195	1030394630	432996219	75877558	26826853	2191443	0	0	156991160	364526939	246004284	259454084	237159197	695177674	534522
STO	2113597230	497547	68114126	479452414	237772150	547931610	160111238	213392293	497547	67440885	673241	474374275	2877208	2200931	121159090	286515	113576252	2750293	168998256	2794187	340651528	32661657	2825982	26288935	3228538	93050944	4588451	32669284	285086	15355833	1357514	88050374	23505732	77121797	4072703	3928340	897080221	31900850	814479962	91636927	153592303	80856983	34164286	4196240	4753331	61654600	163240988	279218748	273419330	984999745	270750405	13161420
ARI	2098441070	888776	14723792	161825740	185596533	574884964	193332453	360452887	888776	7899110	6824682	36185905	124911109	728726	27802720	151113257	2886350	3794206	29831567	308422731	208829802	26214987	1585877	999142	100521444	18344584	50417322	21398170	1651791	16010735	121202094	15033640	15725701	189280322	2702715	497680	150883289	859207739	263283715	131578784	322874976	112316078	153434037	52569022	26786946	64269035	145538953	207219518	474904689	948320092	189664660	17595924
PRI	2094394221	1435369	4030751	400227360	283951748	392376948	166298847	404284412	1435369	3913212	117539	312561073	87064190	602097	213732404	67802141	2417203	0	345043115	27189034	17170276	2974523	0	96407222	13716096	19852640	36036716	286173	0	313691447	8227016	21987259	46266033	12597899	1514758	0	1451855921	213214993	91136248	139014334	15786522	171028716	2240849	8816908	933624	337324215	142675716	422860776	419945720	482206357	98834135	2155005
OWN	2094281927	524268424	566874697	691858924	72605271	64073607	76307806	61390423	524268424	6207485	560667212	68014729	43313293	580530902	29585252	2749853	10562317	29707849	0	3233324	16835620	131334	43873329	0	39413038	17562083	4936355	1051738	13344592	24902220	11507539	101419	131681	3492278	1192012	20063274	653078825	675405481	626843433	34907219	56749085	15216066	21561817	8150469	1351381	37536957	11915941	39514457	58893259	96413172	63700112	1782975583
ALI	2092006545	9120158	12254700	114077420	55671774	404252585	219052244	351537022	9120158	4471212	7783488	82907542	30278677	891201	10445630	20885557	17504154	6836433	9196802	28226127	349707434	14808558	2313664	4816615	33972402	64747546	109212481	5767064	536136	12492454	23910996	99512708	22865364	154388705	37952658	414137	143384098	232216683	593722202	197876673	227568234	318937832	213258331	48218277	62629332	217420547	43478515	246821910	276392830	1109670215	117606825	27895217
REE	2078805186	809608	295015172	809436496	479889792	210996458	71568157	135858857	809608	19442750	275572422	9049422	268858208	531528866	3322723	92268381	256835218	127463470	2727665	111315712	47369323	46386401	3197357	108161	49695897	7155706	0	4729662	9878731	2197957	20250748	105304310	341151	235699	6932810	596182	45389615	837893321	973416541	174964948	9634888	31285528	4098535	1623073	498737	14853058	45789285	169325644	123955118	150092498	606701540	950597841
ISH	2074242414	789798	141995333	42283655	282862173	589443081	150022661	271689861	789798	154861	141840472	949292	1663625	39670738	554132	127423764	2547908	152336369	1147826	53525309	4724238	126722	529918986	519819	1649473	4468066	89166651	0	54218652	366968	20407798	229909	17173059	173801346	532226	59178555	4482696	355214155	52437170	299919262	781734572	139166218	276810450	78166261	81425803	6751403	41569282	114877086	196139712	680781277	5847521	1023185182
DES	2065715430	75044809	22941321	125073557	339869758	376971610	373160591	371630069	75044809	21074534	1866787	4166790	0	120906767	222847492	1489230	37709212	77823824	243992802	0	4858738	24333874	103786196	186691038	0	6381725	3941436	4570277	171576115	293638947	0	1792625	5926996	110191	541593	69619717	1328834043	3356017	206100330	121243065	110725725	174665536	74446847	32785171	3571328	303724710	211055102	251431636	236143130	15129400	93285247	665942772
EAD	2060206998	223319	582802479	265668831	242348548	685701551	104038891	53543709	223319	193186	582609293	505216	182032850	83130765	0	146315089	27245057	68788402	0	333794814	18783534	209514884	123608319	0	40264256	29834614	3450265	3079327	27410429	0	19565714	4832922	13563462	198253	2440062	12943296	921721	1381780348	169672884	299179679	135845228	31104021	18075696	22503969	665275	57107881	24633739	46555314	387265207	171705397	427364332	921446861
NST	2054599822	157737	5681714	10366316	3223097	574839459	219480424	195812895	157737	0	5681714	0	605196	9761120	0	1926960	449379	846758	0	147689433	16705623	0	410444403	0	115719424	92821049	10606194	333757	0	0	130747786	54426731	9537949	1100429	0	0	157737	812041432	620834465	44091438	556817112	4023467	15587453	377830	516631	219033347	257141635	216294850	263534580	39771461	1388332	427148342
SIT	2052297953	40245691	92233577	105888837	21825881	163593189	439511803	399842837	40245691	92233577	0	42121647	0	63767190	2528447	0	18706435	590999	45068535	0	40811050	51221017	26492587	22261580	0	328293409	3315438	85641376	0	134918728	0	52400627	36388042	27861573	147985395	288472	422450331	129620	542355765	116453275	286439261	338384711	311416356	18526738	14865084	142104586	93007447	151121319	673791371	123530330	687637593	131384939
SES	2048207199	4910203	60463658	317837332	432399878	296752208	302855203	389706306	4910203	3337942	57125716	0	0	317837332	1480202	251311	17619736	413048629	35391571	0	0	35022495	226338142	15310524	0	15774701	0	1495503	270274475	638696	0	15391433	41176642	334867	282929	331881739	61193521	57377027	422189130	553196357	229676455	271151138	334957132	72870216	39427666	8709003	73727059	106040601	60187749	586178	58256600	1739708347
ANS	2026036276	3400584	52248978	408354622	216711353	168217373	198281803	274206707	3400584	1672141	50576837	1660360	4172942	402521320	112051828	27747490	2151051	74760984	31754557	12184290	11986430	4209584	108082512	43124758	8500000	69105130	10265401	257687	67028827	9176738	5317658	86446243	45060631	645163	189623	127370651	204363848	110548302	1084159246	137784920	112735326	70546080	133470727	97327364	53782681	184286677	166744780	128263611	251554568	53089152	12653028	998164421
HAS	2017612960	1632148758	10522028	100214966	36809522	21984756	100257050	59158943	1632148758	9295126	1226902	12999597	87215369	0	7406616	26985359	1244437	1173110	10510285	7690279	2046752	113189	1624251	11054584	3576180	119283	42666627	41832072	1008304	2265097	1987756	223251	14146594	39538664	997581	0	1685680063	130078027	3633723	90968514	100690242	2711573	1804554	1897843	148421	2713531	18858438	42064877	48311776	125120580	142313127	1637181325
GRE	2001721438	616090	66708203	753895993	248045140	277246198	266667401	152414486	616090	66223088	485115	711254375	42075938	565680	53725283	65669415	125187602	3462840	233913719	0	40402679	2929800	0	81466591	4257781	998392	171125207	8819430	0	30461737	92047815	21819801	1202315	6168255	714563	0	1190013773	224382667	277067059	268856183	31294091	9454720	652945	0	0	96523778	285995144	272309931	57148624	995571361	245950421	5129725
ONG	2001446810	780904	555286239	616878726	342399336	88980627	199926554	90563112	780904	0	555286239	0	36450591	580428135	0	159921541	8685468	173792327	10379465	25558483	29929646	19918893	3194140	0	103716409	4260082	82485021	617716	8847326	0	18543390	15429971	35032562	14526284	364614	6666291	11160369	985849053	643999824	321617476	21070620	9629827	7094289	1025352	0	21466229	29883087	134258728	65893675	287138041	66326460	1330020714
ALS	2000332681	7815304	1040584801	133921626	113681502	179113177	97340903	253628335	7815304	1038616504	1968297	346886	53936968	79637772	2028933	2369334	385010	108898225	100811	6661181	0	103881	172247304	337585	2549586	158225	306625	0	93988882	0	4933293	0	126333	0	0	248568709	1049246023	75682268	80181007	109435064	172247304	94655832	249231259	26023986	106907905	2319452	5270878	2650397	9673928	3711399	1093042363	882613963
FIC	1997879534	355038	720821	904401	168780085	207627820	310036691	247990406	355038	720821	0	542713	0	361688	2653732	0	166126353	0	24796508	410752	102191238	14323239	65906083	2074085	0	150543012	5465661	2692818	149261115	4008910	0	81588892	131481771	1893590	27886742	1130501	39060012	586929	583849484	378845692	224873742	585551719	81590994	95150236	5676625	147623383	335092750	380206601	490423031	126409239	212476620	292735962
UAL	1996324956	284087	12960202	164053315	337687408	450646569	188839946	238866021	284087	0	12960202	0	2523731	161529584	0	1243980	10564860	325878568	0	121960411	235974136	11866374	80845648	0	179820	25890455	137245023	1366897	24157751	0	54588094	1285692	18436690	75103554	1916683	87535308	284087	225982564	438193120	512765363	179011503	76486036	123692223	361461558	10774075	3385668	70358134	16900870	210236227	540140676	127210298	986748088
IEN	1995121823	148019	15115117	21994182	180016798	497325910	306057124	135354908	148019	0	15115117	0	6501047	15493135	0	19251035	154519427	6246336	0	997465	281967455	210953372	3407618	0	4691458	94098780	181697041	24639723	930122	0	485919	18700018	15478964	25136383	75213395	340229	148019	47740727	731880781	414978065	60475490	480266920	176333174	55238543	25490711	30650024	134920812	44064931	259495961	849407816	622716309	41932664
GEN	1991701772	4885564	28248684	100261400	307022169	576382836	188167701	350022094	4885564	28031447	217237	44145306	51554982	4561112	121583003	105194270	38829639	41415257	529872611	1752315	19525474	14168035	11064401	64775717	35967721	6311523	8260429	14024957	58827354	241750342	0	28545725	9169141	45558948	21443417	3554521	1179453949	194686525	133618521	92806120	116765375	129724166	46779985	84760530	7957022	251388846	86403546	655360011	175238911	319686645	201297845	138075806
SER	1987057848	6242407	48577767	144778171	397088273	486564939	452768958	180361057	6242407	7685824	40891943	94348199	27020410	23409562	260945192	0	63163579	72979502	365700999	0	82792252	15062933	23008755	187614997	637491	211923673	24807330	16558160	11227307	39292759	0	86107102	34759657	1407154	5013068	13781317	975075060	68549844	597671509	252361822	46996024	17529454	19256350	8120270	1209714	173506524	212625431	465782578	511462729	203972505	143772886	196637961
UNT	1982548278	148298	68590928	358294775	283825487	590701436	188011012	286440698	148298	30698392	37892536	269472442	6743497	82078836	5725203	20749186	107661898	149689200	2286523	30034802	359166297	34186613	165027201	6334945	1216533	104207016	9863152	52044923	14344443	10779681	117309	197441326	33586895	34145608	4257513	6112366	335954740	101797186	923910220	249379982	323155834	35811917	8711050	3827349	0	48368770	32742387	241414299	219584692	701850635	235592836	456925126
ECO	1981693790	1884478	3123080	6612705	655020169	293172110	372583001	232379197	1884478	2410612	712468	1685842	3484687	1442176	628527	653695416	165492	530734	87381709	201739215	0	3574618	476568	217683529	154449602	0	240180	209690	0	55976657	173668554	338581	369534	2025871	0	0	412140948	1518122440	10028148	22813883	6098042	10635960	1854369	0	0	178826312	404009243	247775263	204724759	658691336	9845099	5046424
NTA	1978715787	203297	286880	23098430	126061345	187842493	240937221	258609967	203297	0	286880	0	275658	22822772	0	25150799	98459719	2450827	0	16504833	151313078	9021905	11002677	0	5024679	97088727	113393412	21486426	3943977	0	6534297	93365189	56283815	94204852	7313321	908493	203297	75893542	557006550	289936571	224858639	177660646	140434608	282483893	139680094	34630409	201435276	408162443	289760213	534056532	431263185	41940690
ACE	1977975504	3830741	277312576	795129225	304319045	246092082	146322257	81393810	3830741	1351475	275961101	0	87624074	707505151	5258026	4123036	249675676	45262307	7639201	2357282	5105531	9676792	221313276	193859	937023	26358686	20013655	80127838	18691196	1235714	5730845	21041120	1758837	309456	14442311	36875527	24657549	383580391	1026411368	78138117	331535180	68220667	47763999	6521168	10559071	22926406	24287706	60575290	47581751	32095021	452057937	1325432438
CHI	1975189149	7979666	23038952	436152436	51284472	324902443	669506939	205262095	7979666	22816713	222239	435007201	0	1145235	34773873	7215162	8036434	1259003	188798262	40538140	76047075	13798896	5720070	360361146	51999856	67286767	187921743	1120705	816722	39818689	13863212	42449432	13847755	92731735	1745881	805391	1107892144	162543395	256634380	258754124	113482182	25602618	39350739	7604610	1960280	53778765	406809239	306444326	175288916	848088203	50691647	18266979
FER	1975124250	1916346	3877892	133198717	168703359	135681117	249402275	669786500	1916346	3877892	0	12751027	0	120447690	10232793	0	64629890	93840676	25275931	0	72513416	30423463	7468307	12073049	0	126776157	44469104	2579801	63504164	27257961	0	133632878	483760555	1552397	23070817	511892	118691491	0	585574499	1055785910	14354754	187987653	6245367	3623139	1525783	62902365	204979915	421637233	666001383	140882692	125290746	288638274
TAL	1972799407	1637646	135638442	392108095	230118566	374606636	206395482	122146312	1637646	130975701	4662741	32984663	55162595	303960837	53339688	18726238	27340800	130711840	60685003	47141372	39613203	14075206	213091852	7226790	12420864	33160466	14623496	22112151	116851715	1422149	3654538	22965920	51760988	4231701	21962067	16148949	290418075	144126900	450694113	243564755	301143325	161637865	17627826	78856675	105370466	22908675	33509484	128077000	243262666	142493668	277650813	1099037239
LOW	1970111275	178926877	164489268	390891498	377490989	305285781	175688233	345022333	178926877	3483465	161005803	149461392	43731531	197698575	29179983	92991359	36236343	219083304	14578341	70462563	83546514	110416518	26281845	9369813	5025997	24870228	126614532	3077522	6730141	1955063	7048103	15898764	308319577	9472855	1856725	471246	387386960	380730852	363948181	776420440	42725476	14297913	1535464	2128755	517525	2420559	25194023	45097641	439007648	465598076	199340821	792911121
ACH	1966761386	1520733	615817509	152362553	51117342	349300128	486979676	96645526	1520733	2745238	613072271	2406346	12802410	137153797	3001409	12380610	3369822	32365501	40923408	66119004	209113925	6416101	26727690	47729974	33734073	182575068	77909198	10837946	134193417	12713969	30548433	10495102	28362542	7789014	3334996	3401470	149526571	776667331	548579496	179481403	76564821	224959166	6346958	2012905	1524971	42100474	89819959	119082379	303324677	373590655	40015500	949731497
IRE	1964868193	1880482	165738069	102060038	381249744	271381845	637697622	187321567	1880482	136151	165601918	3289201	85798767	12972070	251823	116341773	13090012	251566136	37805834	10098982	3084179	110785510	109607340	767596	207653612	391669	96320274	314231031	18333440	0	163392791	285062	131515	868434	4754360	17889405	44131087	800030987	29822992	490883050	511501346	23339815	21538196	13938214	6120899	38857375	226982524	299715166	10873989	220131709	538010010	615534492
ANG	1962979826	1711931	70185715	281287310	433166572	420108365	423515404	158021719	1711931	592362	69593353	122700572	136608357	21978381	48376362	93583004	276838912	14368294	46639970	72719608	238879610	60932099	937078	7439444	209243340	56592966	66718295	78611129	4910230	2878372	81586041	3210864	33106997	34252588	1786536	1200321	239298646	678767962	616396739	261589146	135109608	15525333	5632351	9516034	0	53580620	144424499	282495727	225328365	561397180	558992425	116592331
SSE	1960826586	360866	3260050	37463933	376956642	352472421	181518765	667970918	360866	0	3260050	0	23470052	13993881	0	65908927	305011854	6035861	0	30888110	103070744	213790324	4723243	0	86752783	10495377	16947757	62973331	4349517	0	121540358	67619503	1002496	963706	475990732	854123	360866	446305178	617247105	244545607	71888936	485230901	70298922	19879261	3910838	82759575	211753995	159107987	45662173	189839441	1169393770	34429332
GRA	1959140336	323148	52122246	313104914	129400039	360269461	273912838	266978756	323148	50891591	1230655	311752376	0	1352538	119934430	0	9035837	429772	176172155	450342	13312233	169931197	403534	113341863	6049280	25441532	104020421	24585794	473948	95541448	242121	35227209	64954419	63886904	7126655	0	963570889	8305591	113087030	444701752	228028078	116531751	40599879	23630598	10480061	148020984	172282896	374096204	360600307	524578983	266111790	4213595
MON	1955584919	5883587	17426426	631730759	443562399	227756435	245302314	111728911	5883587	16936473	489953	275035308	321894938	34800513	161535992	0	19774557	262251850	76831185	23851047	13084021	102425940	11564242	104444704	0	9836046	73460103	42978041	14583420	44499709	0	1639165	26646179	7571207	30787251	585400	767563228	346235938	187078206	508246399	83067321	54695509	4293141	2328275	774791	88191153	119080162	95054546	245818197	375001757	535972437	330581162
FFE	1952351948	0	136976	70984649	410036121	280601771	167927454	629988440	0	0	136976	0	69642457	1342192	0	308759706	100963585	312830	0	243647754	23387629	12923202	643186	0	115229596	46741978	1386124	3291251	1278505	0	174797547	446262669	3170936	1340787	511892	3904609	0	986171226	893934991	32686811	30912630	1930881	5628717	362794	723898	113614619	313762815	577526802	294015367	334874246	189097003	7960205
RAC	1946702195	422373	72981180	153774196	132147560	99238839	427787147	417591532	422373	71826478	1154702	20066296	132944625	763275	52544872	67357681	11144485	1100522	3603342	32184822	15450053	48000622	0	2383771	219960266	18834426	37050623	149252749	305312	1225127	158169867	4578026	179948939	33630304	40039269	0	153815266	684593737	60334002	585461448	364848426	49640338	23110971	24156888	741119	39030027	209617681	451673708	329280156	175306891	490457305	3746184
SEL	1944734073	795401	245845504	14738018	451366045	608013464	141851407	191350392	795401	245738871	106633	10452543	0	4285475	83257541	0	322644950	45463554	43467309	13733926	1715605	527487589	21609035	65599195	0	8063879	2404699	65380686	402948	76720098	371431	2368185	52292693	7071694	52133255	393036	546600571	14702434	341799640	631626306	342349602	54907018	8344280	2838239	1284641	77119732	68341706	53863836	400898056	25250213	1222203164	73228644
UNI	1943038289	1404927	99459234	251918341	382112047	63558074	79384934	311668079	1404927	97847691	1611543	246959381	4536901	422059	345516544	36270828	0	324675	49263671	4348335	6661736	2980837	303495	47552115	14426629	1769378	14897459	739353	0	63001754	26039764	205986	4550510	217635855	0	234210	1218114117	132263908	10273464	35875695	418841870	248248	118538478	913693	7683827	184295937	88643136	174326479	370345511	597870179	106255643	4415257
AKE	1943012492	378157	1001615691	585636079	95503843	70571594	70027609	41415223	378157	0	1001615691	265586	524896114	60474379	0	22588194	53950508	18965141	131221	2617647	8338675	31127016	28357035	131022	5109638	14077679	14550647	32121693	4036930	0	5531001	10169994	551994	1804754	9811536	13545944	905986	1563278287	174756529	65335001	64586854	17313591	36864996	17237522	2087751	22714461	6384905	16005522	19121592	55579802	680070527	1137767527
ARY	1933364771	722851	109896985	36722390	45993259	364428052	466781819	519318417	722851	940219	108956766	2973846	1586749	32161795	997396	3410686	0	41585177	0	24623094	2152499	961329	336691130	0	13046243	292402	0	116593	453326581	286101	2528285	460908	551972	0	0	515491151	5920413	155999790	36973563	44663810	338213520	453963745	517226081	118503024	79910678	1800459	5263496	16535616	26464864	9561625	4098036	1868262084
WIL	1932036855	894596	1539762823	28470545	67034490	177734386	50239549	21741776	894596	1539762823	0	27630350	840195	0	67034490	0	0	0	177734386	0	0	0	0	40319362	4843948	187787	0	4888452	0	12974777	0	8766999	0	0	0	0	1901854778	5684143	19054181	0	5443753	0	0	0	0	15575626	43977492	191900634	67222277	27630350	1545491470	894596
LED	1931510341	103672634	16294233	44338428	699363630	264358706	297013663	365419459	103672634	731427	15562806	3332552	375559	40630317	4951811	8189148	3020906	683201765	1167736	9267836	514345	0	253408789	137964	1163820	281486	1040541	0	294389852	261617	862924	971162	0	197279916	0	166043840	114255741	35749835	46842831	684395026	455305954	294732372	221830160	63608683	6755412	10800265	6984873	7394323	38408382	226259186	4301487	1633815422
DED	1927628435	299206	241817	169108337	316929218	368247624	702785259	243591573	299206	241817	0	195427	0	168912910	4908758	0	0	312020460	4906789	0	0	0	363340835	4900273	0	212705	791703	0	696880578	29664210	0	341712	0	5791002	0	207794649	62062384	0	169467327	315293602	369254133	697173764	207794649	50676272	47324857	29664210	4900273	8164980	5121463	7059036	241817	1855309085
SOM	1911763476	2264337	1183716121	8730770	13301110	109990939	124739960	426974226	2264337	1183716121	0	1705562	0	7025208	7143845	718147	674140	4764978	100110469	965053	0	4980238	3935179	95716362	357132	2857086	905427	24903953	0	411780245	1407929	671440	0	6483600	6440337	190675	1807115973	4948419	11227874	10897417	38506604	7798680	22365393	8756516	0	412382393	98289493	102625253	14136663	19531062	1240905354	18180377
OWE	1902222370	10190520	32452834	585984788	265095055	687660136	237770658	50183192	10190520	21993211	10459623	1863091	581535443	2586254	0	138606392	126488663	0	0	537099041	52167147	96365384	2028564	0	69882804	3872045	2727577	161096529	191703	0	5592179	6325054	4726525	21676504	11862930	0	34046822	1349873218	191539825	108364547	184920331	15505475	14206015	981024	2785113	5518388	8827740	79347266	547120002	219273697	1015499265	25456664
HAR	1901770930	1608070	170209434	208618830	333769250	436375002	142879822	249575623	1608070	165604677	4604757	47730045	156380218	4508567	151545162	177833290	3462707	928091	107729940	258218275	3356310	66365918	704559	74236640	41327290	2579694	12212239	11056125	1467834	29255707	170933905	608833	13348898	31001813	4426467	0	607269469	1091640333	17098275	103531393	65032277	10842258	1056331	1846503	2098860	102480974	247858993	163242561	446978421	274755817	407561764	14020842
INI	1891645157	788730	5640667	1932807	93816506	288882049	591606816	268434223	788730	672350	4968317	415641	1261803	255363	570327	79543027	9022707	4680445	62219297	62901113	151194856	5113752	7453031	12806768	179098090	85332929	266570166	45234850	2564013	39413484	48989324	4229541	16750308	151257501	2605096	5188969	159165757	397539621	259787624	631339401	213063242	125948620	89405258	12839883	1539251	74308737	98464310	382911729	181002619	846005473	65716724	26784436
OPE	1888113123	375126	350721434	149023526	301808271	98013723	375758713	330612931	375126	186632682	164088752	31285878	65973787	51763861	80834915	2682723	113495659	104794974	82533951	4665168	716547	5780342	4317715	60968781	8686523	184787145	96138785	10359766	14817713	168792350	3997707	11257289	10989418	199429	127580717	7796021	697975040	260995358	489620790	223445926	27432275	149784673	17629459	11975685	1064703	238036393	138296919	104586508	293552316	136306994	518942229	360428023
NGE	1885057822	0	939158	174375262	597511684	449879696	209827799	224987890	0	0	939158	0	43629194	130746068	0	25505798	277611037	294394849	0	24303468	63402036	288775947	73398245	0	4946962	8106207	8470507	108733624	79570499	0	16961365	58738110	524661	36351348	76389091	36023315	0	121286038	564630228	610828903	293371777	201005824	71579500	8231350	10197960	11142030	76490565	122190360	44499913	168008495	837391522	619341707
UCH	1883741792	254070	1708008333	56793775	9081792	46284133	36385566	14301942	254070	0	1708008333	0	4704892	52088883	240071	1876999	3366307	3598415	0	9053870	33786800	2344675	1098788	0	6578810	15159941	3106062	951423	10589330	0	4203578	1216549	2559295	4796591	938944	586985	494141	1736018189	108016996	13187377	10123749	11859720	2633230	1301744	106646	663316	9239433	8386609	29115945	43692903	12463146	1777633194
REL	1881145045	2122694	16958409	16736813	290822634	275412846	540786725	320094233	2122694	16771538	186871	13748165	101335	2887313	89416609	0	188359554	13046471	203295123	44463882	2623270	12869322	12161249	413824428	2996272	17678734	5156418	95442090	5688783	291650416	285978	6623913	6084795	1190330	12899483	1359318	1339485588	71002288	238474637	82868040	112433143	29568234	3400067	3646769	266279	303393543	456001790	229757103	161917770	24893665	329553344	37452699
CHE	1879547813	8894800	33883965	137278435	204648214	531339054	534212406	182354866	8894800	31277956	2606009	120478420	2970400	13829615	52713935	49587154	88619240	13727885	55917357	23859182	19269363	424714757	7578395	100010529	28641582	16713905	100651616	271699071	16495703	51683311	26672011	28351694	8929023	11026324	43034614	12657889	448182130	142111726	184538135	583821761	297941897	67292637	135894823	8994980	4811673	67640564	152683489	139492231	106732687	324597288	969859484	81678430
ADE	1878265265	550291	756413100	252149096	254416191	252180050	160761108	48075167	550291	2081322	754331778	3800529	23870884	224477683	538033	3129266	207681856	43067036	3587245	3639344	144129882	66013956	34809623	47011525	1745348	44590682	9190196	32105130	26118227	2048415	2259816	12691614	4332552	2391530	17670398	6680842	73307773	792071035	710546922	126311169	103487530	49798455	13972184	7605957	349866	3288101	153985739	22175605	54723447	167561042	359093286	1095438302
ATT	1875749484	1783102	16689071	34116722	552868807	356046014	330030248	352591392	1783102	2010631	14678440	4489751	20892158	8734813	121014940	428471940	3192912	189015	132592595	195984093	24354272	1664571	1450483	238118630	78334316	8245893	3494078	889275	948056	277929719	27900530	34931926	3337463	6925124	1161025	405605	953813377	783181069	108299605	9097040	12465125	3014003	3833556	1800501	245208	288924949	288453654	246875382	332824369	470731761	29975624	28933758
CIA	1873567925	5205152	549293	3703728	410432603	210939948	126791543	266494482	5205152	549293	0	445586	0	3258142	230193	0	397850595	12351815	0	798998	1813884	203288586	5038480	0	357322	15677940	1779718	101505199	7471364	0	0	42490757	20398850	76229483	125254357	2121035	6430224	1156320	478435382	291329299	620579072	242566018	188879731	28282707	8799018	6654171	66689148	221873933	377007695	152599639	998109576	36959959
EXP	1868948910	7405467	1387931	3274812	124163758	263386454	270945813	302605099	7405467	1387931	0	3274812	0	0	124163758	0	0	0	263386454	0	0	0	0	270809597	0	136216	0	0	0	301873894	0	731205	0	0	0	0	1831163397	0	36776386	120065	889062	0	0	0	0	309272266	286062269	264224141	124299974	3274812	1387931	7405467
MER	1866252229	2354308	61046935	73672872	390933475	304599550	616244881	224403776	2354308	53879606	7167329	50830242	2600670	20241960	118342073	12937064	25260481	234393857	34636851	176121174	19156180	45726697	28958648	34865139	352333345	75327980	67873435	14721146	71123836	25558705	90952749	22735408	11226984	6131809	57730465	10067656	345668471	648840836	168888103	451543518	66138260	133327244	30058779	14124631	7363983	35063913	137611566	497300370	390709889	159233741	220680623	387054971
LIC	1856452455	343704	3905106	53309591	658601704	73882163	373108302	154286094	343704	3753224	151882	1527815	46523851	5257925	2752331	14650914	281986923	359211536	22182303	7295734	20229845	16671686	7502595	14827771	8152071	87484060	67834350	68549152	126260898	7741370	2337087	26631469	43323284	22787317	19541181	31924386	56173044	81162428	446336736	826989209	176791329	198243584	60481586	3232319	2598467	127282175	211276424	174119971	182766305	164387890	442341053	539748236
HEM	1837812879	2290021	1221220641	31063444	69985102	35111202	80708487	54701216	2290021	3732176	1217488465	386546	30441358	235540	1637572	17073671	47890769	3383090	1770260	3838715	21721077	2070511	5710639	2340966	62238064	7469675	4783918	3284304	591560	6450303	31330213	9445031	1302974	1032023	1894742	3245930	52835657	1591069867	90306311	61456491	22422823	4984004	7111198	2528300	4059595	249909352	63075767	88019495	17471506	46496547	89313860	1233328854
