9-gram	*/*	9/*	9/1:9	*/1:9	*/2:10	*/3:11	*/4:12	*/5:13	*/6:14	*/7:15	*/8:16	*/9:17	*/-9:-1
STATUTORY	12011673	12011673	12011673	12011673	0	0	0	0	0	0	0	0	12011673
MULTIPLIE	12000497	0	0	11603534	0	0	0	0	396963	0	0	0	0
TENSIVELY	11992147	0	0	0	0	11992147	0	0	0	0	0	0	11992147
TENNESSEE	11988841	11988841	11988841	11988841	0	0	0	0	0	0	0	0	11988841
OCABULARY	11979989	0	0	0	11979989	0	0	0	0	0	0	0	11979989
PROJECTED	11971808	11971808	11971808	11971808	0	0	0	0	0	0	0	0	11971808
OMMUNISTS	11956697	0	0	0	11956697	0	0	0	0	0	0	0	11956697
CHEMICALS	11954524	11532280	11532280	11532280	0	0	0	0	422244	0	0	0	11954524
BJECTIONS	11952401	0	0	0	11952401	0	0	0	0	0	0	0	11952401
NCLINATIO	11947276	0	0	0	11368208	0	0	579068	0	0	0	0	0
INCLINATI	11947276	0	0	11368208	0	0	579068	0	0	0	0	0	0
HUSIASTIC	11926225	0	0	0	0	0	11740319	0	185906	0	0	0	9138350
THUSIASTI	11926225	0	0	0	0	11740319	0	185906	0	0	0	0	0
BASICALLY	11918096	11918096	11918096	11918096	0	0	0	0	0	0	0	0	11918096
PERSUADED	11917393	11917393	11917393	11917393	0	0	0	0	0	0	0	0	11917393
REFLECTIN	11916814	0	0	11785482	0	131332	0	0	0	0	0	0	0
PREDICTAB	11916232	0	0	7463797	0	4452435	0	0	0	0	0	0	0
ARGAINING	11914070	0	0	0	11914070	0	0	0	0	0	0	0	11914070
BARGAININ	11914070	0	0	11914070	0	0	0	0	0	0	0	0	0
CIALIZATI	11910572	0	0	0	0	5217416	5691770	0	0	1001386	0	0	0
INSTANTLY	11904492	11904492	11904492	11904492	0	0	0	0	0	0	0	0	11904492
ABILITATI	11899773	0	0	0	160152	0	11739621	0	0	0	0	0	0
SELECTING	11891949	11891949	11891949	11891949	0	0	0	0	0	0	0	0	11891949
PLOITATIO	11877740	0	0	0	0	11775535	0	0	0	102205	0	0	0
LOITATION	11877740	0	0	0	0	0	11775535	0	0	0	102205	0	11768565
ICIPATING	11877581	0	0	0	0	0	2833745	8938367	0	0	105469	0	11877581
TICIPATIN	11877581	0	0	0	0	2833745	8938367	0	0	105469	0	0	0
PROSPECTI	11869099	0	0	11869099	0	0	0	0	0	0	0	0	0
CONNECTIN	11860353	0	0	11016022	0	120668	334775	0	388888	0	0	0	0
ONNECTING	11860353	0	0	0	11016022	0	120668	334775	0	388888	0	0	11860353
ISSIONARI	11857317	0	0	0	11857317	0	0	0	0	0	0	0	0
SSIONARIE	11857317	0	0	0	0	11857317	0	0	0	0	0	0	0
RESSIONAL	11855530	0	0	0	0	0	0	11855530	0	0	0	0	11855530
SPECTATOR	11854543	6378074	6378074	11854543	0	0	0	0	0	0	0	0	6378074
GITUDINAL	11853769	0	0	0	0	0	11853769	0	0	0	0	0	10821226
LONGITUDI	11853769	0	0	11853769	0	0	0	0	0	0	0	0	0
NGITUDINA	11853769	0	0	0	0	11853769	0	0	0	0	0	0	0
ONGITUDIN	11853769	0	0	0	11853769	0	0	0	0	0	0	0	0
YCHIATRIC	11853172	0	0	0	0	11552030	0	0	0	0	301142	0	11728900
CARBONATE	11830348	7412400	7412400	9092815	0	2461782	0	275751	0	0	0	0	10149933
MINNESOTA	11827075	11827075	11827075	11827075	0	0	0	0	0	0	0	0	11827075
OMPENSATE	11819379	0	0	0	11514092	0	305287	0	0	0	0	0	6342710
ATURATION	11807229	0	0	0	10534673	0	939639	0	0	332917	0	0	11366091
OMOSEXUAL	11795419	0	0	0	11795419	0	0	0	0	0	0	0	5495884
HOMOSEXUA	11795419	0	0	11795419	0	0	0	0	0	0	0	0	0
DERGROUND	11792163	0	0	0	0	11792163	0	0	0	0	0	0	11792163
NDERGROUN	11792163	0	0	0	11792163	0	0	0	0	0	0	0	0
UNDERGROU	11792163	0	0	11792163	0	0	0	0	0	0	0	0	0
TRANSVERS	11773313	0	0	11773313	0	0	0	0	0	0	0	0	0
STRUCTING	11768558	0	0	0	0	3010390	7097132	0	1661036	0	0	0	11768558
LUCTUATIO	11765078	0	0	0	11765078	0	0	0	0	0	0	0	0
UCTUATION	11765078	0	0	0	0	11765078	0	0	0	0	0	0	2680526
DEFENSIVE	11763496	10611657	10611657	11763496	0	0	0	0	0	0	0	0	10611657
RANDMOTHE	11759134	0	0	0	11759134	0	0	0	0	0	0	0	0
ANDMOTHER	11759134	0	0	0	0	11759134	0	0	0	0	0	0	10909338
GRANDMOTH	11759134	0	0	11759134	0	0	0	0	0	0	0	0	0
SCHEDULED	11756411	11275379	11275379	11275379	0	481032	0	0	0	0	0	0	11756411
PABILITIE	11753283	0	0	0	0	11753283	0	0	0	0	0	0	0
APABILITI	11753283	0	0	0	11753283	0	0	0	0	0	0	0	0
FULFILLED	11744503	10620447	10620447	10620447	0	1124056	0	0	0	0	0	0	11744503
EINFORCED	11740974	0	0	0	11626800	0	114174	0	0	0	0	0	11740974
ROPRIETOR	11738362	0	0	0	11738362	0	0	0	0	0	0	0	5580437
PROPRIETO	11738362	0	0	11738362	0	0	0	0	0	0	0	0	0
PRECIATED	11730534	0	0	0	0	11425822	0	304712	0	0	0	0	11730534
SUBSCRIPT	11726469	1257073	1257073	11726469	0	0	0	0	0	0	0	0	1257073
ACHIEVING	11713200	11713200	11713200	11713200	0	0	0	0	0	0	0	0	11713200
MAGAZINES	11712568	11712568	11712568	11712568	0	0	0	0	0	0	0	0	11712568
RESERVOIR	11711274	8536328	8536328	11711274	0	0	0	0	0	0	0	0	8536328
ENERALIZE	11694011	0	0	0	11694011	0	0	0	0	0	0	0	1932678
TENDENCIE	11690155	0	0	11690155	0	0	0	0	0	0	0	0	0
SUPERIORI	11683251	0	0	11683251	0	0	0	0	0	0	0	0	0
TITIONERS	11672316	0	0	0	0	2331187	0	9341129	0	0	0	0	11672316
EXPLOSION	11668929	9091935	9091935	11668929	0	0	0	0	0	0	0	0	9091935
NTEMPLATI	11668080	0	0	0	0	11668080	0	0	0	0	0	0	0
SPREADING	11662087	11662087	11662087	11662087	0	0	0	0	0	0	0	0	11662087
UNCIATION	11656822	0	0	0	0	809330	6669228	4178264	0	0	0	0	10257836
NUNCIATIO	11656822	0	0	0	809330	6669228	4178264	0	0	0	0	0	0
SYCHOANAL	11648087	0	0	0	11648087	0	0	0	0	0	0	0	191522
PSYCHOANA	11648087	0	0	11648087	0	0	0	0	0	0	0	0	0
ESTATIONS	11646369	0	0	0	0	0	536825	1007180	10102364	0	0	0	11646369
RESURRECT	11644903	389401	389401	11644903	0	0	0	0	0	0	0	0	389401
ABOLITION	11642464	8125800	8125800	11642464	0	0	0	0	0	0	0	0	8125800
RELAXATIO	11629878	0	0	11629878	0	0	0	0	0	0	0	0	0
ELAXATION	11629878	0	0	0	11629878	0	0	0	0	0	0	0	11347304
CHRONOLOG	11627273	0	0	11516307	0	0	110966	0	0	0	0	0	0
RELIGIONS	11624661	11624661	11624661	11624661	0	0	0	0	0	0	0	0	11624661
ENGTHENED	11617212	0	0	0	1870408	0	9746804	0	0	0	0	0	11617212
ABDOMINAL	11613061	11208894	11208894	11317917	0	0	0	0	295144	0	0	0	11504038
GRESSIONA	11611074	0	0	0	0	0	11611074	0	0	0	0	0	0
NGRESSION	11611074	0	0	0	0	11611074	0	0	0	0	0	0	0
CONGRESSI	11611074	0	0	11611074	0	0	0	0	0	0	0	0	0
ONGRESSIO	11611074	0	0	0	11611074	0	0	0	0	0	0	0	0
ITABILITY	11588959	0	0	0	0	2139379	3934829	5514751	0	0	0	0	11588959
EDUCTIONS	11588288	0	0	0	11588288	0	0	0	0	0	0	0	11588288
SUBSIDIAR	11586339	0	0	11586339	0	0	0	0	0	0	0	0	0
WITZERLAN	11581020	0	0	0	11581020	0	0	0	0	0	0	0	0
ITZERLAND	11581020	0	0	0	0	11581020	0	0	0	0	0	0	11581020
SWITZERLA	11581020	0	0	11581020	0	0	0	0	0	0	0	0	0
HOSTILITY	11573997	11573997	11573997	11573997	0	0	0	0	0	0	0	0	11573997
PREVENTIN	11572901	0	0	11572901	0	0	0	0	0	0	0	0	0
REVENTING	11572901	0	0	0	11572901	0	0	0	0	0	0	0	11572901
CCELERATI	11565268	0	0	0	11565268	0	0	0	0	0	0	0	0
CONVINCIN	11558662	0	0	10894209	0	664453	0	0	0	0	0	0	0
ONVINCING	11558662	0	0	0	10894209	0	664453	0	0	0	0	0	9633927
UPERIORIT	11558448	0	0	0	11558448	0	0	0	0	0	0	0	0
PERIORITY	11558448	0	0	0	0	11558448	0	0	0	0	0	0	11558448
DEMOCRATS	11551132	11551132	11551132	11551132	0	0	0	0	0	0	0	0	11551132
DELEGATES	11520249	11520249	11520249	11520249	0	0	0	0	0	0	0	0	11520249
HEMISPHER	11505407	0	0	11368106	0	0	0	0	137301	0	0	0	0
MPARISONS	11499334	0	0	0	0	11499334	0	0	0	0	0	0	11499334
CUMULATED	11496402	254936	254936	254936	0	11241466	0	0	0	0	0	0	11496402
URCHASING	11490543	0	0	0	11490543	0	0	0	0	0	0	0	11490543
PURCHASIN	11490543	0	0	11490543	0	0	0	0	0	0	0	0	0
COMPLISHM	11484135	0	0	0	0	11484135	0	0	0	0	0	0	0
PLISHMENT	11484135	0	0	0	0	0	0	0	11484135	0	0	0	6259059
MPLISHMEN	11484135	0	0	0	0	0	0	11484135	0	0	0	0	0
OMPLISHME	11484135	0	0	0	0	0	11484135	0	0	0	0	0	0
ATTENDANT	11480397	7079553	7079553	11480397	0	0	0	0	0	0	0	0	7079553
LOUISIANA	11477610	11477610	11477610	11477610	0	0	0	0	0	0	0	0	11477610
NCEPTIONS	11475772	0	0	0	0	9257590	0	0	2218182	0	0	0	11475772
SEEMINGLY	11459955	11459955	11459955	11459955	0	0	0	0	0	0	0	0	11459955
YCHOANALY	11456565	0	0	0	0	11456565	0	0	0	0	0	0	0
LIKELIHOO	11455731	0	0	11348783	0	106948	0	0	0	0	0	0	0
IKELIHOOD	11455731	0	0	0	11348783	0	106948	0	0	0	0	0	11327900
ONCILIATI	11455436	0	0	0	3385800	0	8069636	0	0	0	0	0	0
LIMESTONE	11440537	9793517	9793517	11440537	0	0	0	0	0	0	0	0	9793517
NSOLIDATE	11440512	0	0	0	0	11094333	0	346179	0	0	0	0	2797822
INCIDENTS	11433665	11433665	11433665	11433665	0	0	0	0	0	0	0	0	11433665
CATHERINE	11433595	11433595	11433595	11433595	0	0	0	0	0	0	0	0	11433595
PREFERABL	11427471	0	0	11427471	0	0	0	0	0	0	0	0	0
OMPANYING	11426279	0	0	0	0	0	11426279	0	0	0	0	0	11426279
COMPANYIN	11426279	0	0	0	0	11426279	0	0	0	0	0	0	0
CCOMPANYI	11426279	0	0	0	11426279	0	0	0	0	0	0	0	0
CARCINOMA	11423438	8609981	8609981	10076411	0	0	0	0	1187856	159171	0	0	9742879
NPUBLISHE	11422569	0	0	0	11422569	0	0	0	0	0	0	0	0
UNPUBLISH	11422569	0	0	11422569	0	0	0	0	0	0	0	0	0
HROPOLOGI	11409261	0	0	0	0	0	11409261	0	0	0	0	0	0
CORRECTED	11409070	10802767	10802767	10802767	0	606303	0	0	0	0	0	0	11409070
RESPECTED	11404556	11404556	11404556	11404556	0	0	0	0	0	0	0	0	11404556
ACCOUNTAB	11397674	0	0	9783848	0	1613826	0	0	0	0	0	0	0
PERSTITIO	11391121	0	0	0	0	11391121	0	0	0	0	0	0	0
SUPERSTIT	11391121	0	0	11391121	0	0	0	0	0	0	0	0	0
UPERSTITI	11391121	0	0	0	11391121	0	0	0	0	0	0	0	0
PPLEMENTA	11389756	0	0	0	0	11389756	0	0	0	0	0	0	0
FORBIDDEN	11375794	11375794	11375794	11375794	0	0	0	0	0	0	0	0	11375794
FAVOURITE	11372002	10200281	10200281	11372002	0	0	0	0	0	0	0	0	10200281
DOMINANCE	11370310	8748860	8748860	8748860	0	0	2621450	0	0	0	0	0	11370310
NDIRECTLY	11364258	0	0	0	11364258	0	0	0	0	0	0	0	11364258
INDIRECTL	11364258	0	0	11364258	0	0	0	0	0	0	0	0	0
INFRASTRU	11359383	0	0	11359383	0	0	0	0	0	0	0	0	0
FRASTRUCT	11359383	0	0	0	0	11359383	0	0	0	0	0	0	0
NFRASTRUC	11359383	0	0	0	11359383	0	0	0	0	0	0	0	0
NTRODUCIN	11357692	0	0	0	11224507	0	133185	0	0	0	0	0	0
TRODUCING	11357692	0	0	0	0	11224507	0	133185	0	0	0	0	11357692
INTRODUCI	11357692	0	0	11224507	0	133185	0	0	0	0	0	0	0
ESTIONNAI	11356136	0	0	0	0	11356136	0	0	0	0	0	0	0
STIONNAIR	11356136	0	0	0	0	0	11356136	0	0	0	0	0	0
QUESTIONN	11356136	0	0	11356136	0	0	0	0	0	0	0	0	0
UESTIONNA	11356136	0	0	0	11356136	0	0	0	0	0	0	0	0
CHRISTOPH	11351278	726317	726317	11351278	0	0	0	0	0	0	0	0	726317
USPICIOUS	11349584	0	0	0	10784935	0	564649	0	0	0	0	0	9848527
DEMANDING	11344896	11161482	11161482	11161482	0	183414	0	0	0	0	0	0	11344896
LLUMINATI	11343436	0	0	0	11235840	0	0	0	0	107596	0	0	162932
TOBIOGRAP	11340323	0	0	0	0	11340323	0	0	0	0	0	0	0
UTOBIOGRA	11340323	0	0	0	11340323	0	0	0	0	0	0	0	0
OBIOGRAPH	11340323	0	0	0	0	0	11340323	0	0	0	0	0	0
AUTOBIOGR	11340323	0	0	11340323	0	0	0	0	0	0	0	0	0
GEOMETRIC	11332904	6154284	6154284	11215883	0	0	0	0	117021	0	0	0	6271305
RESIDENCY	11328543	1747572	1747572	1747572	9580971	0	0	0	0	0	0	0	11328543
DISREGARD	11325672	5824315	5824315	11325672	0	0	0	0	0	0	0	0	5824315
AVELENGTH	11325596	0	0	0	11325596	0	0	0	0	0	0	0	8013495
WAVELENGT	11325596	0	0	11325596	0	0	0	0	0	0	0	0	0
REGENERAT	11325356	0	0	10987980	0	337376	0	0	0	0	0	0	0
FRANCHISE	11322873	6280470	6280470	8978630	0	1120019	610734	0	613490	0	0	0	6387893
CHURCHILL	11318980	11318980	11318980	11318980	0	0	0	0	0	0	0	0	11318980
CITIZENSH	11307508	0	0	11307508	0	0	0	0	0	0	0	0	0
ITIZENSHI	11307508	0	0	0	11307508	0	0	0	0	0	0	0	0
TIZENSHIP	11307508	0	0	0	0	11307508	0	0	0	0	0	0	11307508
PATHOLOGY	11303784	8328700	8328700	8328700	0	0	0	0	1061386	1913698	0	0	11303784
STEREOTYP	11300686	0	0	11300686	0	0	0	0	0	0	0	0	0
MULTIPLIC	11292865	0	0	11292865	0	0	0	0	0	0	0	0	0
PREACHING	11287401	11134389	11134389	11287401	0	0	0	0	0	0	0	0	11134389
CCELERATE	11283958	0	0	0	11283958	0	0	0	0	0	0	0	3053054
DECORATIO	11268490	0	0	11268490	0	0	0	0	0	0	0	0	0
ECORATION	11268490	0	0	0	11268490	0	0	0	0	0	0	0	7691151
INHIBITOR	11259033	3529015	3529015	11259033	0	0	0	0	0	0	0	0	3529015
MEDITATIO	11251001	0	0	10977348	0	0	273653	0	0	0	0	0	0
DEPRESSED	11246958	11246958	11246958	11246958	0	0	0	0	0	0	0	0	11246958
PERSECUTI	11242159	0	0	11242159	0	0	0	0	0	0	0	0	0
PRECAUTIO	11224129	0	0	11224129	0	0	0	0	0	0	0	0	0
RECAUTION	11224129	0	0	0	11224129	0	0	0	0	0	0	0	3528766
VERTISEME	11205379	0	0	0	0	11205379	0	0	0	0	0	0	0
ERTISEMEN	11205379	0	0	0	0	0	11205379	0	0	0	0	0	0
DVERTISEM	11205379	0	0	0	11205379	0	0	0	0	0	0	0	0
RTISEMENT	11205379	0	0	0	0	0	0	11205379	0	0	0	0	5885824
ESPECTING	11204765	0	0	0	11204765	0	0	0	0	0	0	0	11204765
RESPECTIN	11204765	0	0	11204765	0	0	0	0	0	0	0	0	0
WITNESSED	11201147	11201147	11201147	11201147	0	0	0	0	0	0	0	0	11201147
INJUSTICE	11198339	9810629	9810629	11198339	0	0	0	0	0	0	0	0	9810629
HOSPITALI	11189432	0	0	11189432	0	0	0	0	0	0	0	0	0
NALIZATIO	11185626	0	0	0	0	121302	0	104642	7056621	0	549780	192932	0
FERTILIZE	11181754	493742	493742	10933911	0	247843	0	0	0	0	0	0	493742
UBMISSION	11174407	0	0	0	11174407	0	0	0	0	0	0	0	9827148
SUBMISSIO	11174407	0	0	11174407	0	0	0	0	0	0	0	0	0
ILIPPINES	11173416	0	0	0	0	11173416	0	0	0	0	0	0	11173416
FRIGHTENE	11172922	0	0	11172922	0	0	0	0	0	0	0	0	0
BILITATIO	11162750	0	0	0	0	284866	0	10877884	0	0	0	0	0
RENDERING	11162441	9290286	9290286	9852759	0	0	1309682	0	0	0	0	0	10599968
STRANGERS	11152779	11152779	11152779	11152779	0	0	0	0	0	0	0	0	11152779
SLAUGHTER	11138247	6181001	6181001	10105417	0	0	1032830	0	0	0	0	0	7213831
PORTFOLIO	11123477	9057009	9057009	11123477	0	0	0	0	0	0	0	0	9057009
DISCLOSUR	11122783	0	0	10934289	0	0	188494	0	0	0	0	0	0
ISCLOSURE	11122783	0	0	0	10934289	0	0	188494	0	0	0	0	9340437
CILIATION	11121697	0	0	0	0	0	3052061	0	8069636	0	0	0	10962125
NCILIATIO	11121697	0	0	0	0	3052061	0	8069636	0	0	0	0	0
XAGGERATE	11112389	0	0	0	11112389	0	0	0	0	0	0	0	1948390
ARIZATION	11102170	0	0	0	0	0	5823758	541332	3316103	396753	188837	603684	10864639
REFORMATI	11101684	0	0	11101684	0	0	0	0	0	0	0	0	0
IDENTALLY	11100739	0	0	0	0	0	10498252	0	602487	0	0	0	11100739
CIDENTALL	11100739	0	0	0	0	10498252	0	602487	0	0	0	0	0
MERCHANDI	11090221	0	0	11090221	0	0	0	0	0	0	0	0	0
OCATIONAL	11082602	0	0	0	10972264	110338	0	0	0	0	0	0	10953333
INCREDIBL	11065748	0	0	11065748	0	0	0	0	0	0	0	0	0
REORGANIZ	11064912	0	0	11064912	0	0	0	0	0	0	0	0	0
EXPRESSES	11048530	11048530	11048530	11048530	0	0	0	0	0	0	0	0	11048530
IEVEMENTS	11029839	0	0	0	0	0	11029839	0	0	0	0	0	11029839
ELECTORAL	11022394	10919595	10919595	11022394	0	0	0	0	0	0	0	0	10919595
AMSTERDAM	11020971	11020971	11020971	11020971	0	0	0	0	0	0	0	0	11020971
UTILIZATI	11014021	0	0	10875483	0	0	0	0	138538	0	0	0	0
ULNERABLE	11012780	0	0	0	10443362	0	569418	0	0	0	0	0	11012780
VULNERABL	11012780	0	0	10443362	0	569418	0	0	0	0	0	0	0
RINCIPALL	11011725	0	0	0	11011725	0	0	0	0	0	0	0	157492
UESTIONAB	11005467	0	0	0	5674904	0	5330563	0	0	0	0	0	0
QUESTIONA	11005467	0	0	5674904	0	5330563	0	0	0	0	0	0	0
ESTIONABL	11005467	0	0	0	0	5674904	0	5330563	0	0	0	0	0
RANSVERSE	11004895	0	0	0	11004895	0	0	0	0	0	0	0	9995575
MISERABLE	10994855	10845379	10845379	10994855	0	0	0	0	0	0	0	0	10845379
NTERPRETI	10993202	0	0	0	10644748	0	194143	154311	0	0	0	0	0
EUROPEANS	10989418	10989418	10989418	10989418	0	0	0	0	0	0	0	0	10989418
COMPASSIO	10983902	0	0	10983902	0	0	0	0	0	0	0	0	0
OMPASSION	10983902	0	0	0	10983902	0	0	0	0	0	0	0	8277761
CONFIRMAT	10979471	0	0	10878108	0	0	101363	0	0	0	0	0	0
BACTERIAL	10978361	9915262	9915262	9915262	0	0	0	953987	109112	0	0	0	10978361
ROTECTING	10973819	0	0	0	10973819	0	0	0	0	0	0	0	10973819
PROTECTIN	10973819	0	0	10973819	0	0	0	0	0	0	0	0	0
LAMMATION	10970984	0	0	0	0	0	10970984	0	0	0	0	0	10402982
FLAMMATIO	10970984	0	0	0	0	10970984	0	0	0	0	0	0	0
NFLAMMATI	10970984	0	0	0	10970984	0	0	0	0	0	0	0	0
GENERATOR	10966323	7655592	7655592	10681971	0	284352	0	0	0	0	0	0	7939944
COMMUNISM	10964116	10741373	10741373	10741373	0	0	0	222743	0	0	0	0	10964116
RECIPROCA	10952300	0	0	10952300	0	0	0	0	0	0	0	0	0
NTINUOUSL	10951021	0	0	0	0	10844451	0	0	106570	0	0	0	0
TINUOUSLY	10951021	0	0	0	0	0	10844451	0	0	106570	0	0	10951021
OXIDATION	10935877	10276379	10276379	10483804	0	0	452073	0	0	0	0	0	10728452
THODOLOGY	10931338	0	0	0	0	10723986	0	0	0	0	207352	0	10931338
ANCHESTER	10929686	0	0	0	10929686	0	0	0	0	0	0	0	10929686
ELEGATION	10924634	0	0	0	10924634	0	0	0	0	0	0	0	9138975
ACCIDENTS	10920383	10920383	10920383	10920383	0	0	0	0	0	0	0	0	10920383
ONALITIES	10920204	0	0	0	131323	0	0	10377613	0	263342	0	147926	10920204
PRESCRIPT	10916931	0	0	10733093	0	0	183838	0	0	0	0	0	0
RESCRIPTI	10916931	0	0	0	10733093	0	0	183838	0	0	0	0	0
TERIZATIO	10912573	0	0	0	0	0	177419	0	1485723	9249431	0	0	0
REGULARIT	10910334	0	0	5712802	0	5197532	0	0	0	0	0	0	0
MISUNDERS	10903323	0	0	10903323	0	0	0	0	0	0	0	0	0
ISUNDERST	10903323	0	0	0	10903323	0	0	0	0	0	0	0	0
CONTENTIO	10903156	0	0	10903156	0	0	0	0	0	0	0	0	0
ANALOGOUS	10898419	10379895	10379895	10898419	0	0	0	0	0	0	0	0	10379895
TOLOGICAL	10888965	0	0	0	0	4224153	2996805	384464	2924513	220703	138327	0	9724143
ANSCENDEN	10882253	0	0	0	0	10882253	0	0	0	0	0	0	0
OLUNTEERS	10880377	0	0	0	10880377	0	0	0	0	0	0	0	10880377
STRONGEST	10875543	10875543	10875543	10875543	0	0	0	0	0	0	0	0	10875543
SINGAPORE	10873524	10562456	10562456	10873524	0	0	0	0	0	0	0	0	10562456
POSSESSES	10864954	10864954	10864954	10864954	0	0	0	0	0	0	0	0	10864954
DELIGHTED	10859857	10581219	10581219	10859857	0	0	0	0	0	0	0	0	10581219
OSITIVELY	10858187	0	0	0	10858187	0	0	0	0	0	0	0	10858187
POSITIVEL	10858187	0	0	10858187	0	0	0	0	0	0	0	0	0
XCELLENCE	10856337	0	0	0	10856337	0	0	0	0	0	0	0	10393454
INCIPALLY	10854233	0	0	0	0	10854233	0	0	0	0	0	0	10854233
ROFESSORS	10852208	0	0	0	10852208	0	0	0	0	0	0	0	9513209
BREAKDOWN	10851794	9895185	9895185	10851794	0	0	0	0	0	0	0	0	9895185
EPRECIATI	10850737	0	0	0	10850737	0	0	0	0	0	0	0	0
APABILITY	10847653	0	0	0	10740099	0	107554	0	0	0	0	0	10847653
SATURATED	10846208	8196329	8196329	8196329	0	1720227	0	0	311479	618173	0	0	10846208
ESEMBLANC	10836935	0	0	0	10836935	0	0	0	0	0	0	0	0
RESEMBLAN	10836935	0	0	10836935	0	0	0	0	0	0	0	0	0
AMBIGUOUS	10830465	7559561	7559561	7940925	0	2889540	0	0	0	0	0	0	9408407
UPPORTERS	10820723	0	0	0	10820723	0	0	0	0	0	0	0	10820723
ROCESSION	10820413	0	0	0	10709800	0	110613	0	0	0	0	0	8631438
NERALIZAT	10795314	0	0	0	0	10648107	0	147207	0	0	0	0	0
MANCHESTE	10789261	0	0	10789261	0	0	0	0	0	0	0	0	0
RELEVANCE	10789030	10148942	10148942	10148942	0	640088	0	0	0	0	0	0	10789030
RETENTION	10780227	10518190	10518190	10640146	140081	0	0	0	0	0	0	0	10518190
EMATICALL	10772484	0	0	0	0	428176	1217773	9126535	0	0	0	0	0
TRAVELING	10771892	10771892	10771892	10771892	0	0	0	0	0	0	0	0	10771892
ISTRATORS	10769394	0	0	0	0	0	0	0	10769394	0	0	0	10769394
COLLISION	10764713	7224626	7224626	10764713	0	0	0	0	0	0	0	0	7224626
RECEPTORS	10745664	9710421	9710421	9710421	218000	0	0	121102	554715	0	141426	0	10745664
SECRETARI	10738144	0	0	10738144	0	0	0	0	0	0	0	0	0
DELEGATIO	10730998	0	0	10730998	0	0	0	0	0	0	0	0	0
JUDGEMENT	10719040	7931523	7931523	10719040	0	0	0	0	0	0	0	0	7931523
PROCESSIO	10709800	0	0	10709800	0	0	0	0	0	0	0	0	0
NSTRUCTIN	10709455	0	0	0	1951287	7097132	0	1661036	0	0	0	0	0
VIEWPOINT	10707557	8205362	8205362	10707557	0	0	0	0	0	0	0	0	8205362
SAPPOINTM	10701914	0	0	0	0	10701914	0	0	0	0	0	0	0
ERCHANDIS	10701436	0	0	0	10701436	0	0	0	0	0	0	0	0
UREAUCRAT	10690241	0	0	0	10690241	0	0	0	0	0	0	0	751693
RAVELLING	10686386	0	0	0	10331949	354437	0	0	0	0	0	0	10686386
INHIBITIO	10680342	0	0	10508362	0	0	171980	0	0	0	0	0	0
NHIBITION	10680342	0	0	0	10508362	0	0	171980	0	0	0	0	9577614
NIPULATIO	10658412	0	0	0	0	10658412	0	0	0	0	0	0	0
IMPERATIV	10656256	0	0	10656256	0	0	0	0	0	0	0	0	0
MPERATIVE	10656256	0	0	0	10656256	0	0	0	0	0	0	0	8440536
ATIONALIZ	10656090	0	0	0	8680803	0	101070	765331	0	1108886	0	0	0
INCREMENT	10651448	3527340	3527340	10651448	0	0	0	0	0	0	0	0	3527340
PREVAILED	10643403	10643403	10643403	10643403	0	0	0	0	0	0	0	0	10643403
ISCHARGED	10642371	0	0	0	10642371	0	0	0	0	0	0	0	10642371
SPECTACLE	10640599	7239849	7239849	10440258	0	200341	0	0	0	0	0	0	7239849
GEOLOGICA	10628980	0	0	10501416	0	0	0	0	127564	0	0	0	0
HRISTOPHE	10624961	0	0	0	10624961	0	0	0	0	0	0	0	694680
REATMENTS	10624894	0	0	0	10624894	0	0	0	0	0	0	0	10624894
TORICALLY	10621763	0	0	0	0	0	10621763	0	0	0	0	0	10621763
DESCENDED	10618005	9841576	9841576	9841576	0	132588	643841	0	0	0	0	0	10618005
BSTRUCTIO	10617746	0	0	0	10617746	0	0	0	0	0	0	0	0
RBITRATIO	10613911	0	0	0	10613911	0	0	0	0	0	0	0	0
ARBITRATI	10613911	0	0	10613911	0	0	0	0	0	0	0	0	0
BITRATION	10613911	0	0	0	0	10613911	0	0	0	0	0	0	10398235
DEGRADATI	10610453	0	0	10172579	0	0	437874	0	0	0	0	0	0
RUSTRATIO	10590710	0	0	0	10590710	0	0	0	0	0	0	0	0
AMBITIOUS	10580439	10248354	10248354	10402219	0	178220	0	0	0	0	0	0	10426574
TIMULATED	10577979	0	0	0	10454232	0	123747	0	0	0	0	0	10577979
CEEDINGLY	10573937	0	0	0	0	10573937	0	0	0	0	0	0	10573937
XCEEDINGL	10573937	0	0	0	10573937	0	0	0	0	0	0	0	0
COUNTENAN	10564044	0	0	10210851	0	0	353193	0	0	0	0	0	0
OUNTENANC	10564044	0	0	0	10210851	0	0	353193	0	0	0	0	0
RECONCILE	10550495	5463437	5463437	10316926	0	233569	0	0	0	0	0	0	5463437
COUNSELIN	10549659	0	0	10549659	0	0	0	0	0	0	0	0	0
OUNSELING	10549659	0	0	0	10549659	0	0	0	0	0	0	0	10549659
OBSERVERS	10546170	10546170	10546170	10546170	0	0	0	0	0	0	0	0	10546170
CRIPTURES	10543371	0	0	0	10543371	0	0	0	0	0	0	0	10543371
LIMINATIO	10543350	0	0	0	10543350	0	0	0	0	0	0	0	0
OREIGNERS	10535060	0	0	0	10535060	0	0	0	0	0	0	0	10535060
OBSTACLES	10534909	10534909	10534909	10534909	0	0	0	0	0	0	0	0	10534909
